number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_epochs,params_feature_set,params_learning_rate,params_n_hidden_layers,params_units_per_layer,params_use_dropout,state
82,0.05694255977869034,2025-02-27 03:25:28.732920,2025-02-27 03:27:18.172683,0 days 00:01:49.439763,tanh,512.0,0.30000000000000004,20.0,,0.0006890117308021973,5.0,176.0,True,PRUNED
83,0.13494691252708435,2025-02-27 03:27:18.177718,2025-02-27 03:27:25.290581,0 days 00:00:07.112863,tanh,512.0,0.30000000000000004,10.0,,0.0005550220430239656,5.0,208.0,True,PRUNED
84,0.13923512399196625,2025-02-27 03:27:25.295259,2025-02-27 03:27:31.989030,0 days 00:00:06.693771,tanh,512.0,0.4,20.0,,0.0006737695167007221,5.0,256.0,True,PRUNED
85,0.04837930575013161,2025-02-27 03:27:31.993607,2025-02-27 03:31:39.737280,0 days 00:04:07.743673,tanh,512.0,0.2,40.0,,0.0008441656056192322,5.0,192.0,True,PRUNED
86,0.3899761438369751,2025-02-27 03:31:39.741728,2025-02-27 03:31:46.647836,0 days 00:00:06.906108,relu,512.0,0.5,30.0,,0.0007332675358511444,5.0,160.0,True,PRUNED
87,0.04146494343876839,2025-02-27 03:31:46.652396,2025-02-27 03:40:36.755288,0 days 00:08:50.102892,tanh,128.0,,20.0,,0.0005335889541540376,5.0,112.0,False,COMPLETE
88,4.111242294311523,2025-02-27 03:40:36.763415,2025-02-27 03:41:11.776002,0 days 00:00:35.012587,gelu,128.0,,40.0,,0.0005376994977409997,4.0,112.0,False,PRUNED
89,46.04758834838867,2025-02-27 03:41:11.780563,2025-02-27 03:41:27.266143,0 days 00:00:15.485580,selu,128.0,,70.0,,0.0005052016173525382,5.0,128.0,False,PRUNED
90,0.04417239502072334,2025-02-27 03:41:27.270821,2025-02-27 03:54:21.552681,0 days 00:12:54.281860,tanh,128.0,,30.0,,0.0006290371984836018,5.0,32.0,False,PRUNED
91,0.054650645703077316,2025-02-27 03:54:21.557355,2025-02-27 04:03:33.988646,0 days 00:09:12.431291,tanh,128.0,,40.0,,0.0005423167534047549,4.0,80.0,False,PRUNED
